Time [s],T_g [K],T_l [K],T_i [K],p_g [Pa],ml [kg],mv [kg],ma [kg]
0.000000000000000000e+00,1.235000000000000000e+02,7.734999999999999432e+01,7.920578478424809532e+01,3.000000000000000000e+05,2.949987850645637844e-01,8.552859437810390051e-04,6.109185312721706598e-05
6.236059328929780682e-02,1.234896327354393293e+02,7.735003865683141555e+01,7.920368907684461135e+01,2.999733041617728886e+05,2.949987915323432630e-01,8.552794760015330249e-04,6.109185312721706598e-05
1.247211865785956136e-01,1.234792716695676944e+02,7.735007726912779447e+01,7.920159945653786338e+01,2.999466241253658081e+05,2.949987979979649677e-01,8.552730103798012211e-04,6.109185312721706598e-05
1.870817798678934274e-01,1.234689143582477016e+02,7.735011585447179527e+01,7.919951542018479529e+01,2.999199536546540330e+05,2.949988044622789962e-01,8.552665460657762897e-04,6.109185312721706598e-05
2.494423731571912273e-01,1.234585632082812481e+02,7.735015439561158246e+01,7.919743742640598327e+01,2.998932988884809893e+05,2.949988109244580659e-01,8.552600838867315935e-04,6.109185312721706598e-05
3.118029664464890272e-01,1.234482182063209592e+02,7.735019289268660714e+01,7.919536545110069881e+01,2.998666597913923324e+05,2.949988173845136119e-01,8.552536238312068986e-04,6.109185312721706598e-05
3.741635597357868548e-01,1.234378793364666507e+02,7.735023134586246840e+01,7.919329947251183910e+01,2.998400363211690565e+05,2.949988238424591791e-01,8.552471658856389443e-04,6.109185312721706598e-05
4.365241530250846269e-01,1.234275465948090016e+02,7.735026975518002246e+01,7.919123946917319756e+01,2.998134284674473456e+05,2.949988302982981536e-01,8.552407100466662701e-04,6.109185312721706598e-05
4.988847463143824545e-01,1.234172199632771338e+02,7.735030812082695206e+01,7.918918541743133233e+01,2.997868361822676961e+05,2.949988367520458565e-01,8.552342562989852541e-04,6.109185312721706598e-05
5.612453396036802822e-01,1.234068994319893307e+02,7.735034644290576011e+01,7.918713729737397955e+01,2.997602594394256594e+05,2.949988432037106145e-01,8.552278046342511172e-04,6.109185312721706598e-05
6.236059328929780543e-01,1.233965849917144340e+02,7.735038472151219935e+01,7.918509508610675596e+01,2.997336982144445647e+05,2.949988496533001991e-01,8.552213550446791795e-04,6.109185312721706598e-05
6.859665261822758264e-01,1.233862766279881811e+02,7.735042295679582480e+01,7.918305876183052305e+01,2.997071524689781363e+05,2.949988561008267118e-01,8.552149075181603123e-04,6.109185312721706598e-05
7.483271194715737096e-01,1.233759743259516597e+02,7.735046114890992897e+01,7.918102830265398495e+01,2.996806221636498813e+05,2.949988625463025316e-01,8.552084620423218170e-04,6.109185312721706598e-05
8.106877127608714817e-01,1.233656780643114956e+02,7.735049929807324531e+01,7.917900368439462966e+01,2.996541072420701385e+05,2.949988689897451999e-01,8.552020185996370236e-04,6.109185312721706598e-05
8.730483060501692538e-01,1.233553878574265212e+02,7.735053740413923151e+01,7.917698489100976644e+01,2.996276077422667295e+05,2.949988754311431149e-01,8.551955772017283625e-04,6.109185312721706598e-05
9.354088993394671370e-01,1.233451036790742563e+02,7.735057546737691325e+01,7.917497189836380755e+01,2.996011235948058311e+05,2.949988818705177596e-01,8.551891378270835278e-04,6.109185312721706598e-05
9.977694926287649091e-01,1.233348255132301716e+02,7.735061348795045433e+01,7.917296468399320020e+01,2.995746547572794370e+05,2.949988883078822344e-01,8.551827004625963584e-04,6.109185312721706598e-05
1.060130085918062681e+00,1.233245533548016653e+02,7.735065146591215068e+01,7.917096322817225484e+01,2.995482012162249302e+05,2.949988947432407582e-01,8.551762651040771719e-04,6.109185312721706598e-05
1.122490679207360564e+00,1.233142871860166139e+02,7.735068940144350336e+01,7.916896750819739736e+01,2.995217629246352590e+05,2.949989011766077085e-01,8.551698317371117172e-04,6.109185312721706598e-05
1.184851272496658225e+00,1.233040270026163654e+02,7.735072729458823915e+01,7.916697750501934649e+01,2.994953398712583003e+05,2.949989076079866379e-01,8.551634003581996477e-04,6.109185312721706598e-05
1.247211865785956109e+00,1.232937727890463293e+02,7.735076514550480908e+01,7.916499319662862888e+01,2.994689320149763371e+05,2.949989140373900365e-01,8.551569709548067187e-04,6.109185312721706598e-05
1.309572459075253992e+00,1.232835245275941247e+02,7.735080295437320785e+01,7.916301456078802801e+01,2.994425393089905847e+05,2.949989204648320595e-01,8.551505435127627333e-04,6.109185312721706598e-05
1.371933052364551653e+00,1.232732822170127207e+02,7.735084072120639576e+01,7.916104157870040581e+01,2.994161617500164430e+05,2.949989268903138173e-01,8.551441180309996438e-04,6.109185312721706598e-05
1.434293645653849536e+00,1.232630458410896921e+02,7.735087844616876396e+01,7.915907422919055136e+01,2.993897992952374625e+05,2.949989333138481884e-01,8.551376944966167454e-04,6.109185312721706598e-05
1.496654238943147419e+00,1.232528153867178133e+02,7.735091612939298500e+01,7.915711249079321021e+01,2.993634519100543112e+05,2.949989397354455534e-01,8.551312728992278150e-04,6.109185312721706598e-05
1.559014832232445080e+00,1.232425908423341951e+02,7.735095377099592895e+01,7.915515634262624189e+01,2.993371195639568614e+05,2.949989461551150716e-01,8.551248532297047377e-04,6.109185312721706598e-05
1.621375425521742963e+00,1.232323721986214053e+02,7.735099137107175693e+01,7.915320576563806299e+01,2.993108022323667537e+05,2.949989525728640705e-01,8.551184354806973817e-04,6.109185312721706598e-05
1.683736018811040847e+00,1.232221594387651749e+02,7.735102892978969180e+01,7.915126073730299083e+01,2.992844998709394713e+05,2.949989589887057062e-01,8.551120196390780102e-04,6.109185312721706598e-05
1.746096612100338508e+00,1.232119525553776782e+02,7.735106644722421265e+01,7.914932123887226112e+01,2.992582124602034455e+05,2.949989654026457520e-01,8.551056056990598026e-04,6.109185312721706598e-05
1.808457205389636391e+00,1.232017515408429915e+02,7.735110392345202968e+01,7.914738725079395465e+01,2.992319399800855899e+05,2.949989718146901474e-01,8.550991936546792132e-04,6.109185312721706598e-05
1.870817798678934274e+00,1.231915563602743333e+02,7.735114135882157882e+01,7.914545874807811288e+01,2.992056823386891047e+05,2.949989782248655934e-01,8.550927834792608571e-04,6.109185312721706598e-05
1.933178391968231935e+00,1.231813670409659949e+02,7.735117875306194435e+01,7.914353571800114651e+01,2.991794396078772843e+05,2.949989846331514953e-01,8.550863751933339939e-04,6.109185312721706598e-05
1.995538985257529818e+00,1.231711835515795457e+02,7.735121610648558033e+01,7.914161813729604944e+01,2.991532117051283712e+05,2.949989910395717785e-01,8.550799687730373938e-04,6.109185312721706598e-05
2.057899578546827701e+00,1.231610058819261582e+02,7.735125341919429331e+01,7.913970598589999383e+01,2.991269986036210903e+05,2.949989974441342699e-01,8.550735642105687043e-04,6.109185312721706598e-05
2.120260171836125362e+00,1.231508340179806567e+02,7.735129069132784707e+01,7.913779924367058527e+01,2.991008002664441010e+05,2.949990038468495723e-01,8.550671614952651224e-04,6.109185312721706598e-05
2.182620765125423024e+00,1.231406679448372472e+02,7.735132792303436133e+01,7.913589788978110562e+01,2.990746166543868603e+05,2.949990102477289544e-01,8.550607606158788093e-04,6.109185312721706598e-05
2.244981358414721129e+00,1.231305076542570163e+02,7.735136511439576168e+01,7.913400190561328884e+01,2.990484477457864559e+05,2.949990166467786334e-01,8.550543615661786384e-04,6.109185312721706598e-05
2.307341951704018790e+00,1.231203531456119009e+02,7.735140226541892616e+01,7.913211127324684924e+01,2.990222935389865306e+05,2.949990230439992200e-01,8.550479643455650459e-04,6.109185312721706598e-05
2.369702544993316451e+00,1.231102043993902413e+02,7.735143937629698030e+01,7.913022597185933193e+01,2.989961539826905937e+05,2.949990294394053136e-01,8.550415689394670051e-04,6.109185312721706598e-05
2.432063138282614556e+00,1.231000614024378450e+02,7.735147644716005289e+01,7.912834598152805654e+01,2.989700290423303959e+05,2.949990358330066842e-01,8.550351753380820274e-04,6.109185312721706598e-05
2.494423731571912217e+00,1.230899241460154769e+02,7.735151347809460276e+01,7.912647128269685481e+01,2.989439186949485447e+05,2.949990422248098820e-01,8.550287835348950333e-04,6.109185312721706598e-05
2.556784324861209878e+00,1.230797926152643100e+02,7.735155046924708699e+01,7.912460185702340709e+01,2.989178229015185498e+05,2.949990486148258428e-01,8.550223935189340055e-04,6.109185312721706598e-05
2.619144918150507984e+00,1.230696668005027874e+02,7.735158742071291726e+01,7.912273768462380019e+01,2.988917416366234538e+05,2.949990550030617276e-01,8.550160052830565452e-04,6.109185312721706598e-05
2.681505511439805645e+00,1.230595466885954181e+02,7.735162433262114234e+01,7.912087874561963474e+01,2.988656748657870921e+05,2.949990613895271396e-01,8.550096188176457791e-04,6.109185312721706598e-05
2.743866104729103306e+00,1.230494322704476815e+02,7.735166120506119114e+01,7.911902502202300980e+01,2.988396225651463610e+05,2.949990677742287404e-01,8.550032341160382007e-04,6.109185312721706598e-05
2.806226698018401411e+00,1.230393235433610215e+02,7.735169803806002164e+01,7.911717649583192724e+01,2.988135847276170971e+05,2.949990741571686392e-01,8.549968511761637429e-04,6.109185312721706598e-05
2.868587291307699072e+00,1.230292204805116114e+02,7.735173483187966781e+01,7.911533314681960860e+01,2.987875612828461453e+05,2.949990805383660986e-01,8.549904699787006217e-04,6.109185312721706598e-05
2.930947884596996733e+00,1.230191230871363643e+02,7.735177158646965268e+01,7.911349495675234778e+01,2.987615522445657989e+05,2.949990869178175101e-01,8.549840905272791799e-04,6.109185312721706598e-05
2.993308477886294838e+00,1.230090313420488286e+02,7.735180830203655944e+01,7.911166190730334336e+01,2.987355575572337839e+05,2.949990932955380840e-01,8.549777128067171175e-04,6.109185312721706598e-05
3.055669071175592499e+00,1.229989452310956466e+02,7.735184497871819076e+01,7.910983397734489131e+01,2.987095771837651264e+05,2.949990996715378677e-01,8.549713368069120556e-04,6.109185312721706598e-05
