h_heat[W/m2K],h_mass[m/s]
2.072925202134849343e+01,2.334744238714771237e-05
1.944057794936596650e+01,3.445183814104713186e-05
2.081140616806116839e+01,2.297686177073536372e-05
2.191152880966114935e+01,2.293793940182559910e-05
2.079228610162412849e+01,2.307681790559490333e-05
2.190869503289273013e+01,2.295953668147064170e-05
2.074907682554439958e+01,2.328024030289267381e-05
2.074143501625650998e+01,2.331578231541279127e-05
1.946127445316169968e+01,3.432635230695893204e-05
2.074744398996653771e+01,2.326712083493512898e-05
1.945762537470239550e+01,3.431966144495616778e-05
2.081221438948191604e+01,2.299340644590781215e-05
2.081243131511588729e+01,2.297784682982256723e-05
2.080035655449594501e+01,2.303701228640284859e-05
2.075342006965227526e+01,2.327241122430934173e-05
2.074365154352826579e+01,2.328403052591236020e-05
2.074185595866590148e+01,2.330933681292959397e-05
2.189623077686143660e+01,2.303539355816647613e-05
2.075691331263767836e+01,2.324535410252648093e-05
2.077668821968214985e+01,2.313267641669301063e-05
