Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
100.00	0.10000	4.9152	0.20345	30.344	50.689	3.2991	0.32058	0.54702	184.16	25.048	8.1989e-06	0.0063534	0
101.00	0.10000	4.8633	0.20562	30.674	51.236	3.3045	0.32022	0.54608	185.15	24.571	8.2820e-06	0.0064202	0
102.00	0.10000	4.8126	0.20779	31.003	51.782	3.3099	0.31989	0.54520	186.13	24.111	8.3651e-06	0.0064870	0
103.00	0.10000	4.7630	0.20995	31.331	52.326	3.3152	0.31957	0.54435	187.11	23.666	8.4480e-06	0.0065537	0
104.00	0.10000	4.7144	0.21212	31.659	52.870	3.3205	0.31927	0.54355	188.08	23.235	8.5308e-06	0.0066203	0
105.00	0.10000	4.6669	0.21428	31.986	53.413	3.3256	0.31899	0.54279	189.04	22.817	8.6135e-06	0.0066868	0
106.00	0.10000	4.6204	0.21643	32.313	53.956	3.3308	0.31872	0.54206	189.99	22.413	8.6962e-06	0.0067532	0
107.00	0.10000	4.5748	0.21859	32.639	54.498	3.3359	0.31847	0.54137	190.94	22.021	8.7787e-06	0.0068196	0
108.00	0.10000	4.5302	0.22074	32.964	55.039	3.3409	0.31823	0.54071	191.89	21.641	8.8611e-06	0.0068857	0
109.00	0.10000	4.4865	0.22289	33.290	55.579	3.3459	0.31800	0.54008	192.83	21.272	8.9433e-06	0.0069518	0
110.00	0.10000	4.4436	0.22504	33.615	56.119	3.3508	0.31778	0.53948	193.76	20.914	9.0255e-06	0.0070177	0
111.00	0.10000	4.4016	0.22719	33.939	56.658	3.3557	0.31758	0.53891	194.69	20.567	9.1076e-06	0.0070835	0
112.00	0.10000	4.3604	0.22934	34.263	57.197	3.3605	0.31738	0.53836	195.61	20.229	9.1895e-06	0.0071491	0
113.00	0.10000	4.3200	0.23148	34.587	57.735	3.3653	0.31719	0.53784	196.52	19.901	9.2714e-06	0.0072146	0
114.00	0.10000	4.2804	0.23362	34.910	58.272	3.3700	0.31702	0.53733	197.43	19.583	9.3531e-06	0.0072800	0
115.00	0.10000	4.2416	0.23576	35.233	58.809	3.3747	0.31685	0.53685	198.34	19.273	9.4347e-06	0.0073452	0
116.00	0.10000	4.2034	0.23790	35.556	59.346	3.3794	0.31669	0.53639	199.24	18.971	9.5162e-06	0.0074102	0
117.00	0.10000	4.1660	0.24004	35.878	59.882	3.3840	0.31654	0.53595	200.14	18.678	9.5976e-06	0.0074752	0
118.00	0.10000	4.1292	0.24218	36.200	60.418	3.3885	0.31639	0.53552	201.03	18.392	9.6789e-06	0.0075399	0
119.00	0.10000	4.0931	0.24431	36.522	60.953	3.3931	0.31625	0.53511	201.92	18.114	9.7600e-06	0.0076046	0
120.00	0.10000	4.0577	0.24645	36.844	61.488	3.3975	0.31612	0.53472	202.80	17.843	9.8411e-06	0.0076691	0
121.00	0.10000	4.0229	0.24858	37.165	62.023	3.4020	0.31599	0.53435	203.68	17.579	9.9220e-06	0.0077334	0
122.00	0.10000	3.9887	0.25071	37.486	62.557	3.4064	0.31587	0.53398	204.55	17.322	1.0003e-05	0.0077976	0
123.00	0.10000	3.9551	0.25284	37.807	63.091	3.4107	0.31575	0.53363	205.42	17.071	1.0084e-05	0.0078617	0
124.00	0.10000	3.9220	0.25497	38.127	63.624	3.4151	0.31564	0.53330	206.28	16.826	1.0164e-05	0.0079257	0
125.00	0.10000	3.8896	0.25710	38.448	64.157	3.4193	0.31553	0.53298	207.15	16.587	1.0245e-05	0.0079895	0
126.00	0.10000	3.8577	0.25922	38.768	64.690	3.4236	0.31543	0.53266	208.00	16.354	1.0325e-05	0.0080532	0
127.00	0.10000	3.8263	0.26135	39.088	65.223	3.4278	0.31533	0.53236	208.86	16.127	1.0405e-05	0.0081167	0
128.00	0.10000	3.7954	0.26347	39.407	65.755	3.4320	0.31524	0.53208	209.70	15.905	1.0485e-05	0.0081801	0
129.00	0.10000	3.7651	0.26560	39.727	66.287	3.4361	0.31515	0.53180	210.55	15.688	1.0565e-05	0.0082434	0
130.00	0.10000	3.7352	0.26772	40.046	66.818	3.4402	0.31506	0.53153	211.39	15.476	1.0645e-05	0.0083066	0
131.00	0.10000	3.7058	0.26984	40.365	67.350	3.4443	0.31498	0.53127	212.23	15.269	1.0725e-05	0.0083696	0
132.00	0.10000	3.6769	0.27197	40.684	67.881	3.4483	0.31490	0.53101	213.06	15.066	1.0804e-05	0.0084325	0
133.00	0.10000	3.6485	0.27409	41.003	68.412	3.4523	0.31482	0.53077	213.89	14.869	1.0884e-05	0.0084953	0
134.00	0.10000	3.6205	0.27621	41.322	68.942	3.4563	0.31475	0.53054	214.72	14.675	1.0963e-05	0.0085580	0
135.00	0.10000	3.5929	0.27832	41.640	69.473	3.4602	0.31468	0.53031	215.54	14.486	1.1043e-05	0.0086205	0
136.00	0.10000	3.5658	0.28044	41.959	70.003	3.4642	0.31461	0.53009	216.36	14.301	1.1122e-05	0.0086829	0
137.00	0.10000	3.5391	0.28256	42.277	70.533	3.4680	0.31454	0.52988	217.18	14.120	1.1201e-05	0.0087452	0
138.00	0.10000	3.5128	0.28468	42.595	71.063	3.4719	0.31448	0.52967	217.99	13.942	1.1280e-05	0.0088074	0
139.00	0.10000	3.4868	0.28679	42.913	71.592	3.4757	0.31442	0.52947	218.80	13.769	1.1359e-05	0.0088695	0
140.00	0.10000	3.4613	0.28891	43.231	72.122	3.4795	0.31436	0.52928	219.60	13.599	1.1437e-05	0.0089314	0
141.00	0.10000	3.4362	0.29102	43.549	72.651	3.4833	0.31430	0.52909	220.41	13.432	1.1516e-05	0.0089933	0
142.00	0.10000	3.4114	0.29314	43.866	73.180	3.4870	0.31425	0.52891	221.21	13.269	1.1594e-05	0.0090550	0
143.00	0.10000	3.3870	0.29525	44.184	73.709	3.4907	0.31420	0.52873	222.00	13.110	1.1673e-05	0.0091166	0
