Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
100.00	0.10000	3.4366	0.29098	72.807	101.91	5.6937	0.75140	1.0713	201.64	16.082	6.9644e-06	0.0098709	0
101.00	0.10000	3.4006	0.29406	73.570	102.98	5.7043	0.75103	1.0703	202.72	15.782	7.0303e-06	0.0099732	0
102.00	0.10000	3.3654	0.29714	74.332	104.05	5.7149	0.75068	1.0693	203.79	15.491	7.0961e-06	0.010075	0
103.00	0.10000	3.3310	0.30021	75.094	105.12	5.7253	0.75034	1.0683	204.85	15.209	7.1617e-06	0.010177	0
104.00	0.10000	3.2972	0.30328	75.854	106.18	5.7356	0.75003	1.0674	205.90	14.936	7.2272e-06	0.010278	0
105.00	0.10000	3.2642	0.30635	76.615	107.25	5.7458	0.74973	1.0665	206.95	14.671	7.2925e-06	0.010378	0
106.00	0.10000	3.2319	0.30942	77.374	108.32	5.7559	0.74944	1.0657	207.99	14.414	7.3578e-06	0.010478	0
107.00	0.10000	3.2002	0.31248	78.133	109.38	5.7659	0.74917	1.0649	209.03	14.165	7.4228e-06	0.010578	0
108.00	0.10000	3.1692	0.31554	78.892	110.45	5.7759	0.74892	1.0641	210.06	13.924	7.4878e-06	0.010677	0
109.00	0.10000	3.1387	0.31860	79.650	111.51	5.7857	0.74867	1.0634	211.08	13.689	7.5526e-06	0.010776	0
110.00	0.10000	3.1089	0.32165	80.407	112.57	5.7954	0.74844	1.0627	212.10	13.461	7.6172e-06	0.010874	0
111.00	0.10000	3.0797	0.32471	81.164	113.63	5.8050	0.74822	1.0620	213.11	13.239	7.6818e-06	0.010972	0
112.00	0.10000	3.0510	0.32776	81.921	114.70	5.8145	0.74801	1.0613	214.12	13.024	7.7462e-06	0.011070	0
113.00	0.10000	3.0229	0.33081	82.677	115.76	5.8239	0.74781	1.0607	215.12	12.815	7.8104e-06	0.011167	0
114.00	0.10000	2.9953	0.33385	83.432	116.82	5.8333	0.74762	1.0601	216.11	12.611	7.8745e-06	0.011264	0
115.00	0.10000	2.9683	0.33690	84.188	117.88	5.8425	0.74743	1.0596	217.10	12.412	7.9385e-06	0.011360	0
116.00	0.10000	2.9417	0.33994	84.943	118.94	5.8517	0.74726	1.0590	218.09	12.219	8.0023e-06	0.011457	0
117.00	0.10000	2.9156	0.34298	85.697	120.00	5.8608	0.74709	1.0585	219.07	12.031	8.0660e-06	0.011552	0
118.00	0.10000	2.8900	0.34602	86.452	121.05	5.8698	0.74693	1.0580	220.04	11.848	8.1296e-06	0.011648	0
119.00	0.10000	2.8648	0.34906	87.206	122.11	5.8787	0.74678	1.0575	221.01	11.670	8.1930e-06	0.011743	0
120.00	0.10000	2.8401	0.35210	87.959	123.17	5.8876	0.74664	1.0570	221.97	11.496	8.2563e-06	0.011838	0
121.00	0.10000	2.8159	0.35513	88.713	124.23	5.8963	0.74650	1.0566	222.93	11.326	8.3195e-06	0.011932	0
122.00	0.10000	2.7920	0.35816	89.466	125.28	5.9050	0.74636	1.0561	223.89	11.160	8.3825e-06	0.012026	0
123.00	0.10000	2.7686	0.36119	90.219	126.34	5.9137	0.74624	1.0557	224.84	10.999	8.4454e-06	0.012120	0
124.00	0.10000	2.7456	0.36423	90.971	127.39	5.9222	0.74611	1.0553	225.79	10.841	8.5082e-06	0.012213	0
125.00	0.10000	2.7229	0.36725	91.723	128.45	5.9307	0.74600	1.0549	226.73	10.688	8.5708e-06	0.012307	0
126.00	0.10000	2.7006	0.37028	92.475	129.50	5.9391	0.74588	1.0546	227.67	10.537	8.6333e-06	0.012399	0
127.00	0.10000	2.6788	0.37331	93.227	130.56	5.9474	0.74578	1.0542	228.60	10.390	8.6957e-06	0.012492	0
128.00	0.10000	2.6572	0.37633	93.979	131.61	5.9557	0.74567	1.0538	229.53	10.247	8.7579e-06	0.012584	0
129.00	0.10000	2.6360	0.37936	94.730	132.67	5.9639	0.74557	1.0535	230.45	10.107	8.8200e-06	0.012676	0
130.00	0.10000	2.6152	0.38238	95.481	133.72	5.9720	0.74548	1.0532	231.37	9.9700	8.8820e-06	0.012768	0
131.00	0.10000	2.5947	0.38540	96.232	134.77	5.9801	0.74538	1.0529	232.29	9.8360	8.9438e-06	0.012859	0
132.00	0.10000	2.5745	0.38842	96.982	135.82	5.9881	0.74530	1.0526	233.20	9.7050	9.0055e-06	0.012951	0
133.00	0.10000	2.5547	0.39144	97.733	136.88	5.9960	0.74521	1.0523	234.11	9.5769	9.0671e-06	0.013041	0
134.00	0.10000	2.5351	0.39446	98.483	137.93	6.0039	0.74513	1.0520	235.01	9.4515	9.1285e-06	0.013132	0
135.00	0.10000	2.5159	0.39748	99.233	138.98	6.0117	0.74505	1.0517	235.91	9.3288	9.1899e-06	0.013222	0
136.00	0.10000	2.4969	0.40049	99.983	140.03	6.0195	0.74498	1.0514	236.81	9.2087	9.2511e-06	0.013313	0
137.00	0.10000	2.4783	0.40351	100.73	141.08	6.0272	0.74490	1.0512	237.71	9.0911	9.3121e-06	0.013402	0
138.00	0.10000	2.4599	0.40652	101.48	142.13	6.0348	0.74483	1.0509	238.59	8.9759	9.3731e-06	0.013492	0
139.00	0.10000	2.4418	0.40954	102.23	143.19	6.0424	0.74477	1.0507	239.48	8.8630	9.4339e-06	0.013582	0
140.00	0.10000	2.4239	0.41255	102.98	144.24	6.0500	0.74470	1.0504	240.36	8.7525	9.4945e-06	0.013671	0
