Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
14.000	0.0075414	76.971	0.012992	-53.718	-53.620	-3.0506	5.1623	7.0310	1268.3	-1.5728	2.5531e-05	0.076669	0.0029925	0.13273	7.5343	343.39	400.21	29.366	6.2447	10.569	307.56	29.101	6.6684e-07	0.010426
14.100	0.0079820	76.889	0.013006	-53.015	-52.911	-3.0006	5.1654	7.0555	1266.2	-1.5656	2.5187e-05	0.077494	0.0029759	0.13958	7.1645	343.95	401.13	29.201	6.2484	10.582	308.53	28.823	6.7488e-07	0.010555
14.200	0.0084422	76.807	0.013020	-52.309	-52.199	-2.9507	5.1697	7.0819	1264.1	-1.5579	2.4851e-05	0.078303	0.0029592	0.14669	6.8173	344.50	402.05	29.039	6.2522	10.594	309.50	28.549	6.8281e-07	0.010681
14.300	0.0089225	76.725	0.013034	-51.601	-51.484	-2.9010	5.1751	7.1098	1262.0	-1.5500	2.4524e-05	0.079094	0.0029426	0.15405	6.4912	345.05	402.97	28.879	6.2559	10.607	310.45	28.279	6.9062e-07	0.010805
14.400	0.0094235	76.642	0.013048	-50.889	-50.766	-2.8514	5.1813	7.1392	1259.9	-1.5417	2.4206e-05	0.079870	0.0029260	0.16169	6.1846	345.60	403.88	28.721	6.2596	10.620	311.40	28.014	6.9832e-07	0.010926
14.500	0.0099458	76.559	0.013062	-50.175	-50.045	-2.8019	5.1883	7.1699	1257.7	-1.5331	2.3894e-05	0.080629	0.0029094	0.16960	5.8961	346.15	404.79	28.566	6.2633	10.633	312.35	27.753	7.0592e-07	0.011046
14.600	0.010490	76.476	0.013076	-49.458	-49.321	-2.7526	5.1960	7.2017	1255.6	-1.5244	2.3591e-05	0.081372	0.0028927	0.17779	5.6245	346.69	405.69	28.413	6.2670	10.647	313.29	27.496	7.1341e-07	0.011164
14.700	0.011057	76.392	0.013090	-48.737	-48.593	-2.7034	5.2042	7.2346	1253.5	-1.5154	2.3294e-05	0.082100	0.0028761	0.18627	5.3685	347.23	406.59	28.262	6.2706	10.660	314.22	27.244	7.2082e-07	0.011279
14.800	0.011647	76.308	0.013105	-48.014	-47.861	-2.6544	5.2128	7.2684	1251.3	-1.5062	2.3005e-05	0.082812	0.0028595	0.19504	5.1272	347.77	407.49	28.113	6.2742	10.674	315.14	26.996	7.2813e-07	0.011394
14.900	0.012260	76.224	0.013119	-47.287	-47.126	-2.6054	5.2218	7.3030	1249.2	-1.4969	2.2722e-05	0.083509	0.0028429	0.20410	4.8996	348.31	408.38	27.966	6.2777	10.688	316.06	26.753	7.3536e-07	0.011506
15.000	0.012898	76.139	0.013134	-46.556	-46.387	-2.5565	5.2311	7.3384	1247.1	-1.4875	2.2446e-05	0.084191	0.0028263	0.21347	4.6846	348.85	409.27	27.821	6.2812	10.703	316.97	26.514	7.4250e-07	0.011618
15.100	0.013561	76.053	0.013149	-45.822	-45.644	-2.5077	5.2406	7.3744	1244.9	-1.4780	2.2176e-05	0.084859	0.0028098	0.22314	4.4815	349.38	410.15	27.677	6.2847	10.717	317.87	26.279	7.4957e-07	0.011728
15.200	0.014249	75.968	0.013163	-45.085	-44.897	-2.4590	5.2502	7.4111	1242.8	-1.4684	2.1912e-05	0.085511	0.0027932	0.23313	4.2895	349.91	411.03	27.536	6.2881	10.732	318.77	26.049	7.5657e-07	0.011837
