Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
10.000	0.10000	4.9487	0.20207	35.248	55.456	10.252	3.1148	5.4257	185.05	3.1366	2.2582e-06	0.016889	0
11.000	0.10000	4.4668	0.22387	38.472	60.859	10.767	3.1166	5.3837	194.67	2.7528	2.4102e-06	0.017984	0
12.000	0.10000	4.0735	0.24549	41.678	66.227	11.234	3.1180	5.3526	203.74	2.4334	2.5568e-06	0.019025	0
13.000	0.10000	3.7457	0.26697	44.870	71.567	11.661	3.1190	5.3287	212.37	2.1628	2.6983e-06	0.020023	0
14.000	0.10000	3.4681	0.28834	48.051	76.886	12.055	3.1197	5.3099	220.61	1.9304	2.8352e-06	0.020983	0
15.000	0.10000	3.2296	0.30963	51.225	82.188	12.421	3.1202	5.2948	228.52	1.7284	2.9681e-06	0.021911	0
16.000	0.10000	3.0225	0.33085	54.391	87.476	12.763	3.1205	5.2824	236.14	1.5512	3.0972e-06	0.022811	0
17.000	0.10000	2.8408	0.35202	57.552	92.753	13.083	3.1207	5.2722	243.49	1.3946	3.2228e-06	0.023688	0
18.000	0.10000	2.6800	0.37313	60.708	98.021	13.384	3.1208	5.2636	250.62	1.2551	3.3453e-06	0.024543	0
19.000	0.10000	2.5367	0.39421	63.860	103.28	13.668	3.1208	5.2563	257.53	1.1302	3.4648e-06	0.025379	0
20.000	0.10000	2.4082	0.41526	67.008	108.53	13.937	3.1208	5.2500	264.25	1.0177	3.5816e-06	0.026198	0
21.000	0.10000	2.2921	0.43627	70.154	113.78	14.193	3.1207	5.2446	270.80	0.91590	3.6958e-06	0.027002	0
22.000	0.10000	2.1869	0.45726	73.297	119.02	14.437	3.1207	5.2399	277.18	0.82343	3.8077e-06	0.027792	0
23.000	0.10000	2.0910	0.47824	76.438	124.26	14.670	3.1206	5.2358	283.41	0.73909	3.9174e-06	0.028568	0
24.000	0.10000	2.0033	0.49919	79.576	129.50	14.893	3.1205	5.2322	289.51	0.66190	4.0250e-06	0.029333	0
