Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
64.000	0.014602	863.73	0.0011578	-149.05	-149.03	2.4524	1.1703	2.0016	986.57	-0.40156	0.00029492	0.17545	0.012032	0.77689	1.2872	46.794	65.589	5.8059	0.75071	1.0605	162.08	39.558	4.4346e-06	0.0062456
64.102	0.014869	863.31	0.0011583	-148.85	-148.83	2.4555	1.1696	2.0018	985.53	-0.40124	0.00029336	0.17522	0.012007	0.78996	1.2659	46.863	65.686	5.8021	0.75081	1.0608	162.19	39.423	4.4421e-06	0.0062550
64.203	0.015140	862.89	0.0011589	-148.64	-148.63	2.4587	1.1689	2.0020	984.49	-0.40092	0.00029182	0.17498	0.011982	0.80320	1.2450	46.933	65.783	5.7983	0.75092	1.0611	162.31	39.289	4.4496e-06	0.0062643
64.305	0.015415	862.47	0.0011595	-148.44	-148.42	2.4619	1.1682	2.0021	983.45	-0.40059	0.00029029	0.17475	0.011958	0.81661	1.2246	47.002	65.879	5.7945	0.75102	1.0614	162.42	39.156	4.4571e-06	0.0062736
64.407	0.015694	862.05	0.0011600	-148.24	-148.22	2.4650	1.1675	2.0023	982.41	-0.40027	0.00028877	0.17451	0.011933	0.83020	1.2045	47.071	65.975	5.7907	0.75112	1.0616	162.54	39.024	4.4646e-06	0.0062830
64.508	0.015977	861.63	0.0011606	-148.03	-148.02	2.4682	1.1668	2.0025	981.37	-0.39994	0.00028726	0.17428	0.011908	0.84397	1.1849	47.141	66.072	5.7870	0.75123	1.0619	162.65	38.892	4.4721e-06	0.0062923
64.610	0.016264	861.21	0.0011612	-147.83	-147.81	2.4714	1.1661	2.0027	980.34	-0.39961	0.00028576	0.17404	0.011884	0.85791	1.1656	47.210	66.168	5.7832	0.75133	1.0622	162.77	38.762	4.4796e-06	0.0063016
64.712	0.016556	860.79	0.0011617	-147.63	-147.61	2.4745	1.1654	2.0029	979.30	-0.39928	0.00028427	0.17381	0.011859	0.87203	1.1467	47.279	66.264	5.7795	0.75144	1.0625	162.88	38.632	4.4871e-06	0.0063110
64.813	0.016851	860.37	0.0011623	-147.42	-147.40	2.4776	1.1647	2.0030	978.26	-0.39894	0.00028279	0.17358	0.011834	0.88634	1.1282	47.348	66.360	5.7758	0.75154	1.0628	162.99	38.503	4.4946e-06	0.0063203
64.915	0.017151	859.95	0.0011629	-147.22	-147.20	2.4808	1.1640	2.0032	977.22	-0.39861	0.00028133	0.17334	0.011810	0.90083	1.1101	47.417	66.456	5.7721	0.75165	1.0631	163.11	38.374	4.5021e-06	0.0063296
65.017	0.017455	859.53	0.0011634	-147.02	-147.00	2.4839	1.1633	2.0034	976.19	-0.39827	0.00027987	0.17311	0.011785	0.91550	1.0923	47.486	66.551	5.7684	0.75176	1.0634	163.22	38.247	4.5096e-06	0.0063389
65.118	0.017763	859.11	0.0011640	-146.81	-146.79	2.4870	1.1626	2.0036	975.15	-0.39793	0.00027843	0.17288	0.011760	0.93036	1.0749	47.555	66.647	5.7648	0.75187	1.0637	163.33	38.120	4.5171e-06	0.0063483
65.220	0.018075	858.68	0.0011646	-146.61	-146.59	2.4902	1.1619	2.0038	974.12	-0.39759	0.00027699	0.17264	0.011736	0.94540	1.0577	47.623	66.742	5.7611	0.75198	1.0640	163.44	37.994	4.5246e-06	0.0063576
65.322	0.018392	858.26	0.0011651	-146.41	-146.38	2.4933	1.1612	2.0040	973.08	-0.39725	0.00027557	0.17241	0.011711	0.96064	1.0410	47.692	66.838	5.7575	0.75209	1.0643	163.56	37.869	4.5321e-06	0.0063669
65.423	0.018714	857.84	0.0011657	-146.20	-146.18	2.4964	1.1605	2.0042	972.05	-0.39691	0.00027416	0.17218	0.011686	0.97607	1.0245	47.761	66.933	5.7539	0.75220	1.0646	163.67	37.744	4.5396e-06	0.0063762
65.525	0.019039	857.42	0.0011663	-146.00	-145.98	2.4995	1.1598	2.0043	971.01	-0.39656	0.00027275	0.17194	0.011662	0.99168	1.0084	47.829	67.028	5.7503	0.75231	1.0649	163.78	37.621	4.5471e-06	0.0063855
65.627	0.019370	856.99	0.0011669	-145.80	-145.77	2.5026	1.1591	2.0045	969.98	-0.39622	0.00027136	0.17171	0.011637	1.0075	0.99256	47.898	67.123	5.7467	0.75242	1.0653	163.89	37.498	4.5546e-06	0.0063948
65.728	0.019705	856.57	0.0011674	-145.59	-145.57	2.5057	1.1584	2.0047	968.94	-0.39587	0.00026998	0.17148	0.011613	1.0235	0.97703	47.966	67.218	5.7431	0.75254	1.0656	164.00	37.375	4.5621e-06	0.0064042
65.830	0.020044	856.15	0.0011680	-145.39	-145.36	2.5088	1.1577	2.0049	967.91	-0.39552	0.00026860	0.17125	0.011588	1.0397	0.96180	48.034	67.313	5.7395	0.75265	1.0659	164.11	37.254	4.5697e-06	0.0064135
65.932	0.020389	855.72	0.0011686	-145.18	-145.16	2.5119	1.1570	2.0051	966.88	-0.39516	0.00026724	0.17101	0.011563	1.0561	0.94686	48.103	67.408	5.7360	0.75277	1.0662	164.22	37.133	4.5772e-06	0.0064228
66.033	0.020738	855.30	0.0011692	-144.98	-144.96	2.5150	1.1563	2.0053	965.85	-0.39481	0.00026589	0.17078	0.011539	1.0727	0.93220	48.171	67.503	5.7324	0.75288	1.0665	164.33	37.013	4.5847e-06	0.0064321
66.135	0.021091	854.87	0.0011698	-144.78	-144.75	2.5181	1.1556	2.0055	964.81	-0.39446	0.00026454	0.17055	0.011514	1.0895	0.91782	48.239	67.597	5.7289	0.75300	1.0669	164.44	36.894	4.5922e-06	0.0064414
66.237	0.021450	854.45	0.0011703	-144.57	-144.55	2.5212	1.1549	2.0057	963.78	-0.39410	0.00026321	0.17032	0.011490	1.1066	0.90371	48.307	67.691	5.7254	0.75312	1.0672	164.55	36.775	4.5997e-06	0.0064507
66.338	0.021813	854.02	0.0011709	-144.37	-144.34	2.5242	1.1542	2.0059	962.75	-0.39374	0.00026188	0.17009	0.011465	1.1238	0.88986	48.375	67.786	5.7219	0.75323	1.0675	164.66	36.657	4.6073e-06	0.0064600
66.440	0.022182	853.60	0.0011715	-144.17	-144.14	2.5273	1.1535	2.0061	961.72	-0.39338	0.00026057	0.16986	0.011441	1.1412	0.87627	48.443	67.880	5.7184	0.75335	1.0679	164.77	36.540	4.6148e-06	0.0064693
