Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
100.00	0.10000	3.9411	0.25373	63.612	88.986	5.4054	0.65268	0.93520	188.37	18.479	7.7468e-06	0.0093101	0
101.00	0.10000	3.8995	0.25644	64.276	89.921	5.4147	0.65277	0.93468	189.37	18.171	7.8211e-06	0.0094059	0
102.00	0.10000	3.8588	0.25915	64.940	90.855	5.4239	0.65292	0.93425	190.37	17.873	7.8954e-06	0.0095017	0
103.00	0.10000	3.8189	0.26185	65.604	91.789	5.4330	0.65309	0.93387	191.36	17.586	7.9696e-06	0.0095973	0
104.00	0.10000	3.7800	0.26455	66.267	92.723	5.4421	0.65327	0.93352	192.34	17.306	8.0438e-06	0.0096929	0
105.00	0.10000	3.7418	0.26725	66.931	93.656	5.4510	0.65344	0.93319	193.31	17.033	8.1178e-06	0.0097885	0
106.00	0.10000	3.7044	0.26995	67.595	94.589	5.4598	0.65361	0.93287	194.28	16.766	8.1917e-06	0.0098839	0
107.00	0.10000	3.6679	0.27264	68.258	95.522	5.4686	0.65377	0.93254	195.25	16.505	8.2655e-06	0.0099793	0
108.00	0.10000	3.6320	0.27533	68.921	96.454	5.4773	0.65391	0.93222	196.21	16.249	8.3393e-06	0.010075	0
109.00	0.10000	3.5969	0.27802	69.584	97.386	5.4859	0.65403	0.93189	197.16	15.998	8.4129e-06	0.010170	0
110.00	0.10000	3.5625	0.28070	70.248	98.318	5.4944	0.65413	0.93155	198.11	15.752	8.4864e-06	0.010265	0
111.00	0.10000	3.5287	0.28339	70.911	99.249	5.5028	0.65421	0.93121	199.06	15.511	8.5598e-06	0.010360	0
112.00	0.10000	3.4956	0.28607	71.573	100.18	5.5111	0.65428	0.93086	199.99	15.275	8.6332e-06	0.010455	0
113.00	0.10000	3.4632	0.28875	72.236	101.11	5.5194	0.65433	0.93051	200.93	15.043	8.7064e-06	0.010550	0
114.00	0.10000	3.4314	0.29143	72.899	102.04	5.5276	0.65436	0.93015	201.86	14.815	8.7795e-06	0.010644	0
115.00	0.10000	3.4001	0.29411	73.561	102.97	5.5357	0.65438	0.92979	202.78	14.592	8.8525e-06	0.010739	0
116.00	0.10000	3.3695	0.29678	74.223	103.90	5.5438	0.65438	0.92943	203.71	14.374	8.9254e-06	0.010834	0
117.00	0.10000	3.3394	0.29945	74.885	104.83	5.5518	0.65438	0.92907	204.62	14.160	8.9982e-06	0.010928	0
118.00	0.10000	3.3099	0.30212	75.547	105.76	5.5597	0.65436	0.92871	205.53	13.950	9.0709e-06	0.011023	0
119.00	0.10000	3.2809	0.30479	76.208	106.69	5.5675	0.65434	0.92834	206.44	13.744	9.1434e-06	0.011117	0
120.00	0.10000	3.2524	0.30746	76.870	107.62	5.5753	0.65431	0.92798	207.35	13.543	9.2159e-06	0.011211	0
121.00	0.10000	3.2245	0.31013	77.531	108.54	5.5830	0.65426	0.92763	208.24	13.345	9.2882e-06	0.011305	0
122.00	0.10000	3.1970	0.31279	78.192	109.47	5.5906	0.65422	0.92727	209.14	13.152	9.3605e-06	0.011399	0
123.00	0.10000	3.1700	0.31545	78.853	110.40	5.5982	0.65417	0.92692	210.03	12.963	9.4326e-06	0.011493	0
124.00	0.10000	3.1435	0.31812	79.513	111.32	5.6057	0.65411	0.92657	210.92	12.777	9.5046e-06	0.011587	0
125.00	0.10000	3.1174	0.32078	80.174	112.25	5.6131	0.65405	0.92623	211.80	12.596	9.5765e-06	0.011680	0
126.00	0.10000	3.0918	0.32344	80.834	113.18	5.6205	0.65399	0.92590	212.68	12.418	9.6483e-06	0.011774	0
127.00	0.10000	3.0666	0.32609	81.494	114.10	5.6278	0.65392	0.92557	213.55	12.244	9.7200e-06	0.011868	0
128.00	0.10000	3.0418	0.32875	82.154	115.03	5.6351	0.65385	0.92524	214.42	12.074	9.7916e-06	0.011961	0
129.00	0.10000	3.0175	0.33140	82.813	115.95	5.6423	0.65378	0.92492	215.29	11.907	9.8630e-06	0.012054	0
130.00	0.10000	2.9935	0.33406	83.473	116.88	5.6494	0.65371	0.92461	216.16	11.743	9.9344e-06	0.012147	0
131.00	0.10000	2.9699	0.33671	84.132	117.80	5.6565	0.65364	0.92430	217.02	11.583	1.0006e-05	0.012240	0
132.00	0.10000	2.9467	0.33936	84.791	118.73	5.6635	0.65357	0.92400	217.87	11.427	1.0077e-05	0.012333	0
133.00	0.10000	2.9239	0.34201	85.450	119.65	5.6705	0.65349	0.92370	218.72	11.274	1.0148e-05	0.012426	0
